Jim Jordan is an appraiser. As such, he|discovers value.|insures value.|estimates value.|sets value.
No two parcels of land|are worth exactly the same amount.|can be combined.|have the same highest and best use.|are identical.
The appraiser who works for a number of different clients is known as a(n)|fee appraiser.|freelance appraiser.|staff appraiser.|in-house appraiser.
The appraiser who works for a number of different clients is known as a(n)|fee appraiser.|freelance appraiser.|staff appraiser.|in-house appraiser.
Value is the relationship between the desired object and|potential buyer.|the power of a good to command other goods in exchange.|the present value of future benefits.|all of the above.
A house should bring $400,000 but sells for $350,000 by a hard-pressed seller in a hurry. It is then mortgaged for $300,000 and insured for $375,000. Its market value is|$300,000|$350,000|$375,000|$400,000
An example of an arm's-length transaction is one between|father and daughter.|employer and employee.|broker and salesperson.|two strangers.
An amenity that contributed to a property's value might be its|updated plumbing.|ocean frontage.|sale price.|replacement cost.
Market value and cost are often equal when the property|remains in the family for a long time.|was recently constructed.|is sold in an arm's-length transaction.|receives a weighted appraisal.
The highest and best use of real estate is defined as the use that produces the MOST|benefit to the community.|conformity.|progression.|money.
"""Why should I pay more when I can buy almost the same house new for less?"" is an example of the principle of"|substitution.|conformity.|anticipation.|change.
Houses are likely to reach their maximum value when|a wide range of price levels is represented.|neighbors hold a mix of executive, blue-collar, and white-collar jobs.|each house is unique.|jobs, houses, and price levels are similar.
The cost approach is MOST useful for |a library.|insurance purposes.|new construction.|all of the above.
From the reproduction or replacement cost of the building, an appraiser deducts depreciation, which represents|the remaining useful economic life of the building.|remodeling costs to increase rentals.|loss of value due to any cause.|costs to modernize the building.
The difference between reproduction cost and replacement cost involves|functional obsolescence.|estimated land value.|modern versus obsolete methods and materials.|effective gross income.
The appraised value of a residence with five bedrooms and one bathroom would probably be reduced because of|locational obsolescence.|functional obsolescence.|curable physical deterioration.|incurable physical deterioration.
The term economic obsolescence refers to|poor landscaping.|faulty floor plan.|wear and tear.|problems beyond the property line.
If a property's annual net income is $37,500 and it is valued at $300,000, what is its capitalization rate?|8%|12.5%|15%|18%
Expenses are subtracted from gross rental figures to arrive at|debt service.|cash flow.|net operating income.|depreciation.
Capitalization is the process by which the estimated future annual net income is used as the basis to|determine cost.|estimate value.|establish depreciation.|determine potential tax value.
Which of the following factors would NOT be important in comparing properties under the sales comparison approach to value?|a difference in the dates of sale.|a difference in real estate taxes.|a difference in appearance and condition.|a difference in the original cost.
Reconciliation refers to which of the following?|loss of value due to any cause.|separating the value of the land from the total value of the property in order to compute depreciation.|analyzing the results obtained by the three approaches to value to determine a final estimate of value.|the process by which an appraiser determines the highest and best use for a parcel of land.
In order to become a certified general appraiser, one must have a|fellowship.|brokerage.|bachelor's degree.|designation.
Some of the country's foremost appraisers have earned the designation|MAI|REA|SRE|ARE
Real estate appraisals must be performed by a licensed or certified real estate appraiser|regardless of the value of the property involved in the transaction.|only if the value of the property involved in the transaction is greater than $150,000.|only if the property's fair market value is less than $100,000.|whenever a CMA has not been previously prepared by a real estate broker or salesperson.
To be certified as a residential appraiser in New Jersey, an applicant must complete|2,000 hours of apprenticeship under a residential broker and undergo a physical examination.|165 hours of education in approved courses, and undergo a criminal background check.|1,500 hours of apprenticeship under a licensed or certified residential appraiser, and undergo a thorough psychological examination.|200 hours in approved real estate and appraisal courses, and have 2,500 hours of experience in no less than two years.
An apartment building has $65,000 in potential gross annual income. The vacancy rate is estimated at 5%. Total operating expenses are $29,000. The capitalization rate is 9%. What would be the value of the building using the income approach?|$324,773|$363,889|$372,895|$392,367
Sid is appraising a two-unit apartment building. In this neighborhood, the accepted gross rent multiplier is 144. The annual income on the building is $16,800 (both units rented). The monthly expenses are $300. What would Sid estimate the market value to be, based on the income approach?|$201,600|$232,500|$224,800|$258,600
